route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-16,46644078,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644079,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644080,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-16,46644081,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644082,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644083,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-16,46644084,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-16,46644085,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-16,46644086,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644087,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644088,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644089,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644090,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644091,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644092,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644093,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644094,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644095,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644096,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644097,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-16,46644098,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644099,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644100,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644101,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644102,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644103,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644104,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-16,46644105,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644106,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644107,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-16,46644108,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644109,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-16,46644110,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-16,46644111,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644112,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644113,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644114,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644115,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644116,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644117,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644118,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644119,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644120,,0,119,801NB_120323
801,RINFRA-801-1_Weekday-16,46644121,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644122,,0,123,801NB_120323
801,RINFRA-801-1_Weekday-16,46644123,,0,120,801NB_120323
801,RINFRA-801-1_Weekday-16,46644124,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-16,46644125,,0,121,801NB_120323
801,RINFRA-801-1_Weekday-16,46644126,,0,122,801NB_120323
801,RINFRA-801-1_Weekday-16,46644127,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-16,46644128,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644129,,0,124,801NB_120323
801,RINFRA-801-1_Weekday-16,46644130,,0,125,801NB_120323
801,RINFRA-801-1_Weekday-16,46644131,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644132,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644133,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644134,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644135,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-16,46644136,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-16,46644137,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644138,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644139,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644140,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644141,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644142,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644143,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644144,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644145,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-16,46644146,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-16,46644147,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-16,46644148,,1,122,801SB_120323
801,RINFRA-801-1_Weekday-16,46644149,,1,123,801SB_120323
801,RINFRA-801-1_Weekday-16,46644150,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644151,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644152,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644153,,1,125,801SB_120323
801,RINFRA-801-1_Weekday-16,46644154,,1,124,801SB_120323
801,RINFRA-801-1_Weekday-16,46644155,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644156,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644157,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-16,46644158,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-16,46644159,,1,119,801SB_120323
801,RINFRA-801-1_Weekday-16,46644160,,1,120,801SB_120323
801,RINFRA-801-1_Weekday-16,46644161,,1,121,801SB_120323
801,RINFRA-801-1_Weekday-16,46644162,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-16,46644163,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-16,46644164,,1,602,801SB_120323
801,RINFRA-801-1_Weekday-16,46644165,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644166,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644167,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644168,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-16,46644169,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644170,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-16,46644171,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-16,46644172,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-16,46644173,,1,123,801SB_120323
801,RINFRA-801-1_Weekday-16,46644174,,0,123,801NB_120323
801,RINFRA-801-1_Weekday-16,46644175,,0,125,801NB_120323
801,RINFRA-801-1_Weekday-16,46644176,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-16,46644177,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-16,46644178,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-16,46644179,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-16,46644180,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-16,46644181,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-16,46644182,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-16,46644183,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644184,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-16,46644185,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-16,46644186,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-16,46644187,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-16,46644189,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-16,46644190,,1,106,801SB_120323
806,RINFRA-801-1_Weekday-16,46644191,,1,658,806SB_160306
806,RINFRA-801-1_Weekday-16,46644192,,1,651,806SB_160306
806,RINFRA-801-1_Weekday-16,46644193,,1,602,806SB_160306
806,RINFRA-801-1_Weekday-16,46644194,,1,654,806SB_160306
806,RINFRA-801-1_Weekday-16,46644195,,1,604,806SB_160306
806,RINFRA-801-1_Weekday-16,46644196,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-16,46644197,,1,655,806SB_160306
806,RINFRA-801-1_Weekday-16,46644198,,1,656,806SB_160306
806,RINFRA-801-1_Weekday-16,46644199,,1,601,806SB_160306
806,RINFRA-801-1_Weekday-16,46644200,,1,602,806SB_160306
806,RINFRA-801-1_Weekday-16,46644201,,1,603,806SB_160306
806,RINFRA-801-1_Weekday-16,46644202,,1,604,806SB_160306
806,RINFRA-801-1_Weekday-16,46644203,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-16,46644204,,1,653,806SB_160306
806,RINFRA-801-1_Weekday-16,46644205,,1,653,806SB_160306
806,RINFRA-801-1_Weekday-16,46644206,,1,603,806SB_160306
806,RINFRA-801-1_Weekday-16,46644207,,1,654,806SB_160306
806,RINFRA-801-1_Weekday-16,46644208,,1,655,806SB_160306
806,RINFRA-801-1_Weekday-16,46644209,,1,656,806SB_160306
806,RINFRA-801-1_Weekday-16,46644210,,1,602,806SB_160306
806,RINFRA-801-1_Weekday-16,46644211,,1,667,806SB_160306
806,RINFRA-801-1_Weekday-16,46644212,,1,665,806SB_160306
806,RINFRA-801-1_Weekday-16,46644213,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-16,46644214,,1,670,806SB_160306
806,RINFRA-801-1_Weekday-16,46644215,,1,668,806SB_160306
806,RINFRA-801-1_Weekday-16,46644216,,1,669,806SB_160306
806,RINFRA-801-1_Weekday-16,46644217,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-16,46644218,,1,671,806SB_160306
806,RINFRA-801-1_Weekday-16,46644219,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-16,46644220,,1,672,806SB_160306
806,RINFRA-801-1_Weekday-16,46644221,,1,665,806SB_160306
806,RINFRA-801-1_Weekday-16,46644222,,1,667,806SB_160306
806,RINFRA-801-1_Weekday-16,46644223,,1,668,806SB_160306
806,RINFRA-801-1_Weekday-16,46644224,,1,672,806SB_160306
806,RINFRA-801-1_Weekday-16,46644225,,1,669,806SB_160306
806,RINFRA-801-1_Weekday-16,46644226,,1,670,806SB_160306
806,RINFRA-801-1_Weekday-16,46644227,,1,671,806SB_160306
806,RINFRA-801-1_Weekday-16,46644228,,1,652,806SB_160306
806,RINFRA-801-1_Weekday-16,46644229,,1,666,806SB_160306
806,RINFRA-801-1_Weekday-16,46644230,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-16,46644231,,0,657,806NB_160306
806,RINFRA-801-1_Weekday-16,46644232,,0,659,806NB_160306
806,RINFRA-801-1_Weekday-16,46644233,,0,658,806NB_160306
806,RINFRA-801-1_Weekday-16,46644234,,0,664,806NB_160306
806,RINFRA-801-1_Weekday-16,46644235,,0,661,806NB_160306
806,RINFRA-801-1_Weekday-16,46644236,,0,660,806NB_160306
806,RINFRA-801-1_Weekday-16,46644237,,0,663,806NB_160306
806,RINFRA-801-1_Weekday-16,46644238,,0,663,806NB_160306
806,RINFRA-801-1_Weekday-16,46644239,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-16,46644240,,0,662,806NB_160306
806,RINFRA-801-1_Weekday-16,46644241,,0,657,806NB_160306
806,RINFRA-801-1_Weekday-16,46644242,,0,658,806NB_160306
806,RINFRA-801-1_Weekday-16,46644243,,0,664,806NB_160306
806,RINFRA-801-1_Weekday-16,46644244,,0,659,806NB_160306
806,RINFRA-801-1_Weekday-16,46644245,,0,660,806NB_160306
806,RINFRA-801-1_Weekday-16,46644246,,0,661,806NB_160306
806,RINFRA-801-1_Weekday-16,46644247,,0,651,806NB_160306
806,RINFRA-801-1_Weekday-16,46644248,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-16,46644249,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-16,46644250,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-16,46644251,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-16,46644252,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-16,46644253,,0,656,806NB_160306
